MsgID.GLOBAL_POSITION,1528756627.4607739,-122.3974498,37.7924808,0.2090000
MsgID.LOCAL_VELOCITY,1528756627.4607739,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1528756627.4607739,0.0990981,0.0128899,-0.2090614
MsgID.LOCAL_VELOCITY,1528756627.4607739,0.0000000,0.0000000,-0.0000000
MsgID.STATE,1528756627.4612746,False,False
MsgID.GLOBAL_HOME,1528756627.4617748,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,1528756627.4617748,-122.3974484,37.7924806,0.1960000
MsgID.LOCAL_VELOCITY,1528756627.4617748,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1528756627.4622755,0.0685712,0.1409115,-0.1961955
MsgID.LOCAL_VELOCITY,1528756627.4622755,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1528756627.4622755,-122.3974479,37.7924788,0.1650000
MsgID.LOCAL_VELOCITY,1528756627.4622755,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1528756627.4627757,-0.1285418,0.1800551,-0.1654714
MsgID.LOCAL_VELOCITY,1528756627.4627757,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1528756627.4627757,-122.3974491,37.7924803,0.1240000
MsgID.LOCAL_VELOCITY,1528756627.4627757,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1528756627.4627757,0.0440815,0.0798637,-0.1242325
MsgID.LOCAL_VELOCITY,1528756627.4627757,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1528756627.6585193,-122.3974499,37.7924816,0.0770000
MsgID.LOCAL_VELOCITY,1528756627.6585193,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1528756627.6590197,0.1869532,0.0036005,-0.0773709
MsgID.LOCAL_VELOCITY,1528756627.6590197,-0.0000030,-0.0000301,-0.0001751
MsgID.STATE,1528756627.9038241,True,True
